Writing to File.....
1,135
2,154
3,161
4,172
5,180
6,186
7,191
8,202
9,209
10,214
11,219
12,226
13,232
14,245
15,251
16,258
17,263
18,269
19,274
20,280
21,285
22,292
23,297
24,303
25,309
26,314
27,322
28,327
29,332
30,337
31,341
32,345
33,351
34,357
35,362
36,370
37,376
38,381
39,386
40,396
41,400
42,408
43,412
44,417
45,421
46,425
47,442
48,446
49,451
50,455
51,1267
52,1273
53,810
54,1399
55,1439
56,1468
57,1493
58,1515
59,1547
60,1658
61,1840
62,1903
63,1981
64,2009
65,2062
66,2104
67,2142
68,2168
69,2736
70,2769
71,2797
72,2850
73,2913
74,2981
75,3153
76,3160
77,3198
78,3225
79,3332
80,3369
81,3645
82,3738
83,3772
84,3817
85,3940
86,4134
87,4235
88,4265
89,4679
90,4796
91,4829
92,5142
93,5161
94,5317
95,5374
96,5405
97,5449
98,5524
99,5621
100,5659
101,5791
102,6048
103,6081
104,6107
105,6155
106,6213
107,6284
108,6332
109,6355
110,6380
111,6408
112,6432
113,6495
114,6571
115,6607
116,6635
117,6685
118,6704
119,6734
120,8016
121,8067
122,8151
123,8210
124,8355
125,8453
126,8487
127,8518
128,8596
129,8685
130,8704
131,8746
132,8997
133,9020
134,9118
135,9186
136,9211
137,9275
138,9302
139,9350
140,9364
141,9392
142,9451
143,9472
144,9559
145,9788
146,9801
147,9868
148,9899
149,10032
150,10071
151,10152
152,10176
153,10409
154,10496
155,10877
156,10963
157,10977
158,12050
159,12139
160,12190
161,12223
162,12248
163,12277
164,12307
165,12355
166,12382
167,12448
168,12479
169,12513
170,12545
171,12736
172,12793
173,12860
174,12935
175,12974
176,14355
177,14398
178,14440
179,14461
180,14594
181,14616
182,14638
183,14726
184,14783
185,14838
186,14933
187,14960
188,15096
189,15149
190,15218
191,15405
192,15485
193,15512
194,15546
195,15573
196,15603
197,15894
198,15917
199,16070
200,16188
201,16214
202,16309
203,16362
204,16499
205,16567
206,16603
207,16648
208,16676
209,16712
210,16774
211,16805
212,16861
213,17028
214,17069
215,17111
216,17144
217,17172
218,17216
219,17429
220,17461
221,1620
222,17574
223,17595
224,17621
225,17670
226,17763
227,17915
228,17937
229,18002
230,18024
231,18062
232,18107
233,18149
234,18182
235,18207
236,18239
237,18266
238,18296
239,18323
240,2430
241,18362
242,18382
243,18463
244,18529
245,18554
246,18583
247,18656
248,18683
249,18778
250,19053
251,19125
252,19140
253,19221
254,19262
255,19294
256,19319
257,19375
258,19401
259,19502
260,19562
261,19592
262,19799
263,19843
264,19852
265,20012
266,20027
267,20104
268,20134
269,20169
270,20205
271,20222
272,20286
273,20332
274,20357
275,20408
276,20433
277,20495
278,20523
279,20564
280,21159
281,21479
282,21704
283,21724
284,21774
285,21799
286,21827
287,21886
288,21933
289,21995
290,22027
291,22053
292,22078
293,22251
294,22425
295,22460
296,22537
297,22568
298,22599
299,22630
300,22647
301,22669
302,22695
303,22772
304,22794
305,22815
306,22832
307,22893
308,22954
309,23003
310,23046
311,23084
312,23118
313,23150
314,23219
315,23228
316,23245
317,23508
318,23564
